ann1,ann2,alpha,kappa,AvgObs,type,time,correct,maxconf,total
31,51,0.168402,0.103762,0.378228,nonsymmetric,29.09,140,99,379
44,51,0.223313,0.189304,0.379147,nonsymmetric,46.879,137,84,379
26,50,0.08438,0.042836,0.357388,nonsymmetric,22.819,134,99,379
26,62,0.099139,0.064798,0.360352,nonsymmetric,24.077,133,96,379
26,34,0.09621,0.054622,0.311214,nonsymmetric,21.422,107,81,379
26,51,0.041696,-0.008107,0.223008,nonsymmetric,23.081,80,79,379
33,46,0.364646,0.357396,0.655264,symmetric,34.215,9.996774,1,99
39,51,0.175305,0.093696,0.395486,symmetric,45.428,9.994536,1,99
31,51,0.168402,0.103762,0.378228,symmetric,29.317,9.994505,1,99
3,30,0.259347,0.245442,0.676974,symmetric,1.295,9.993921,1,99
3,50,0.237824,0.208484,0.62212,symmetric,3.64,9.993846,1,99
3,31,0.242147,0.227619,0.67372,symmetric,1.511,9.993528,1,99
3,34,0.157255,0.093863,0.488718,symmetric,2.621,9.992806,1,99
33,44,0.223368,0.200219,0.52686,symmetric,33.899,9.99278,1,99
6,58,0.288724,0.275212,0.642067,symmetric,9.24,9.991045,1,99
33,51,0.157993,0.086949,0.385862,symmetric,34.64,9.989011,1,99
21,23,0.204035,0.193263,0.576979,symmetric,14.086,9.988701,1,99
6,21,0.141602,0.130101,0.528602,symmetric,5.312,9.988636,1,99
33,56,0.249285,0.245659,0.662296,symmetric,34.936,9.988571,1,99
21,58,0.138179,0.12807,0.627111,symmetric,17.371,9.988166,1,99
56,58,0.257325,0.25418,0.697467,symmetric,54.446,9.988095,1,99
6,50,0.291103,0.286085,0.572291,symmetric,8.289,9.987342,1,99
3,54,0.207313,0.195967,0.666394,symmetric,4.079,9.986799,1,99
3,6,0.251708,0.231802,0.6365,symmetric,0.104,9.986755,1,99
3,16,0.258856,0.241876,0.684877,symmetric,0.389,9.98645,1,99
31,62,0.287606,0.274638,0.582282,symmetric,30.077,9.986441,1,99
39,57,0.164231,0.1585,0.674591,symmetric,45.915,9.985423,1,99
3,39,0.324514,0.319593,0.741451,symmetric,2.914,9.984848,1,99
33,39,0.354151,0.351999,0.712427,symmetric,33.746,9.984663,1,99
3,51,0.140825,0.026728,0.38175,symmetric,3.953,9.983957,1,99
50,58,0.241772,0.220935,0.613325,symmetric,51.89,9.983193,1,99
6,16,0.191923,0.181013,0.550312,symmetric,5.094,9.983099,1,99
33,62,0.293456,0.280835,0.603391,symmetric,35.335,9.982609,1,99
6,34,0.294232,0.272749,0.510506,symmetric,7.369,9.981949,1,99
26,31,0.174999,0.134902,0.458463,symmetric,20.853,9.981928,1,99
30,58,0.293939,0.285777,0.679301,symmetric,26.997,9.981873,1,99
54,56,0.258338,0.254974,0.652608,symmetric,53.7,9.981073,1,99
26,51,0.041696,-0.008107,0.223008,symmetric,23.325,9.980769,1,99
33,54,0.259923,0.257523,0.646451,symmetric,34.76,9.980198,1,99
31,57,0.191926,0.178546,0.648206,symmetric,29.727,9.98017,1,99
44,58,0.194299,0.154775,0.52715,symmetric,47.784,9.98,1,99
57,62,0.143177,0.103399,0.545303,symmetric,54.976,9.98,1,99
33,58,0.259023,0.254692,0.689565,symmetric,35.192,9.979651,1,99
26,39,0.115329,0.054452,0.432445,symmetric,22.209,9.979651,1,99
44,57,0.158118,0.110265,0.513641,symmetric,47.587,9.979351,1,99
39,58,0.35753,0.355108,0.74058,symmetric,46.054,9.978202,1,99
46,57,0.184947,0.156056,0.586649,symmetric,50.43,9.978082,1,99
3,56,0.223204,0.217683,0.700413,symmetric,4.324,9.977848,1,99
31,44,0.281674,0.266032,0.551755,symmetric,28.502,9.976812,1,99
26,57,0.08015,-0.003628,0.432731,symmetric,23.817,9.976608,1,99
26,30,0.121937,0.07489,0.411328,symmetric,20.687,9.975758,1,99
44,50,0.177216,0.160338,0.449459,symmetric,46.775,9.974922,1,99
46,54,0.241273,0.232349,0.57347,symmetric,50.039,9.97486,1,99
33,50,0.298304,0.290007,0.622995,symmetric,34.347,9.974194,1,99
46,50,0.292907,0.288386,0.571135,symmetric,49.473,9.973684,1,99
54,57,0.162931,0.153149,0.643799,symmetric,53.794,9.973607,1,99
31,58,0.255132,0.246425,0.666108,symmetric,29.875,9.973214,1,99
3,21,0.160018,0.144898,0.652612,symmetric,0.614,9.972752,1,99
31,56,0.264344,0.259537,0.650264,symmetric,29.598,9.972393,1,99
44,51,0.223313,0.189304,0.379147,symmetric,47.085,9.97191,1,99
21,34,0.177859,0.135729,0.459837,symmetric,15.433,9.971888,1,99
26,58,0.079114,0.003974,0.424534,symmetric,24.001,9.971591,1,99
44,56,0.239551,0.213326,0.541214,symmetric,47.448,9.971429,1,99
3,58,0.297302,0.294478,0.752898,symmetric,4.593,9.970501,1,99
